Symbol	RAPdb	MSU
NADP-ME2|OsNADP-ME2	Os01g0723400	LOC_Os01g52500
NAL1|qFLW4	Os04g0615000	LOC_Os04g52479
NAL2|OsWOX3A|WOX3	Os11g0102100	LOC_Os11g01130
NAL3	Os12g0101600	LOC_Os12g01120
NEF	Os09g0512700	LOC_Os09g33780
NH2	Os01g0767900	LOC_Os01g56200
NH3	Os03g0667100	LOC_Os03g46440
NIGT1	Os02g0325600	LOC_Os02g22020
NL1	Os05g0578900	LOC_Os05g50270
NLS1	Os11g0249000	LOC_Os11g14380
NOC3	Os06g0498500	LOC_Os06g30320
NOG1	Os01g0752200	LOC_Os01g54860
NOL	Os03g0654600	LOC_Os03g45194
NPP1|OsPAP27b	Os08g0531000	LOC_Os08g41880
Nrat1	Os02g0131800	LOC_Os02g03900
NRR	Os01g0130200	LOC_Os01g03940
NRR|CRCT	Os05g0595300	LOC_Os05g51690
NRRB	Os10g0548700	LOC_Os10g40100
NRT1|OsNRT1|OsNRT1.1	Os03g0235900	LOC_Os03g13274
NSG	Os04g0444100	LOC_Os04g36650
NTRA	Os06g0327300	LOC_Os06g22140
NTRB	Os02g0713400	LOC_Os02g48290
NTRC	Os07g0657900	LOC_Os07g46410
NYC1	Os01g0227100	LOC_Os01g12710
NYC3	Os06g0354700	LOC_Os06g24730
NYC4	Os07g0558500	LOC_Os07g37250
OASA1	Os03g0826500	LOC_Os03g61120
OASA2	Os03g0264400	LOC_Os03g15780
OCPI1	Os01g0615100	LOC_Os01g42860
OcXII	Os01g0270100	LOC_Os01g16430
ODCa	Os09g0543400	LOC_Os09g37120
ODCb	Os02g0482400	LOC_Os02g28110
OFP1	Os01g0226700	LOC_Os01g12690
OgPAE1	Os11g0615700	LOC_Os11g40140
OGR1	Os12g0270200	LOC_Os12g17080
OHK1	Os06g0183200	LOC_Os06g08450
OHK2|OsHk3	Os01g0923700	LOC_Os01g69920
OHK3|OsHk5	Os10g0362300	LOC_Os10g21810
OHK4	Os03g0717700	LOC_Os03g50860
OHP1	Os08g0557700	LOC_Os08g44350
OHP2	Os09g0567400	LOC_Os09g39400
OIP30	Os06g0186900	LOC_Os06g08770
OLE4	Os09g0324000	LOC_Os09g15520
OMTN1	Os02g0579000	LOC_Os02g36880
OMTN3	Os12g0610600	LOC_Os12g41680
OMTN4|ONAC011|OsY37	Os06g0675600	LOC_Os06g46270
OMTN5	Os06g0344900	LOC_Os06g23650
OMTN6	Os08g0200600	LOC_Os08g10080
ONAC020	Os01g0104500	LOC_Os01g01470
ONAC022	Os03g0133000	LOC_Os03g04070
ONAC023	Os02g0214500	LOC_Os02g12310
ONAC026	Os01g0393100	LOC_Os01g29840
ONAC045	Os11g0127600	LOC_Os11g03370
ONAC063	Os08g0436700	LOC_Os08g33910
ONAC095	Os06g0726300	LOC_Os06g51070
ONAC096	Os07g0138200	LOC_Os07g04560
ONAC106	Os08g0433500	LOC_Os08g33670
ONAC122|OsNAC10	Os11g0126900	LOC_Os11g03300
ONAC127	Os11g0512100	LOC_Os11g31340
ONAC128	Os11g0512200	LOC_Os11g31360
ONAC129	Os11g0512600	LOC_Os11g31380
ONAC131	Os12g0123700	LOC_Os12g03040
ONAC300	Os12g0123800	LOC_Os12g03050
ONI1	Os03g0181500	LOC_Os03g08360
ONI2	Os10g0416200	LOC_Os10g28060
ONI3	Os09g0363900	LOC_Os09g19930
OPR8	Os02g0559400	LOC_Os02g35310
OPT|OsOPT7	Os03g0751100	LOC_Os03g54000
ORK1	Os08g0176200	LOC_Os08g07890
ORMDL	Os07g0452500	LOC_Os07g26940
Orys1	Os03g0106900	LOC_Os03g01650
Orysa; EL2	Os03g0107700	LOC_Os03g01740
Orysa;NAP1;1|OsNAP1_L1	Os06g0149400	LOC_Os06g05660
Orysa;NAP1;2|OsNAP1_L2	Os05g0539700	LOC_Os05g46230
Orysa;NAP1;3|OsNAP1_L3	Os01g0711800	LOC_Os01g51450
Oryzasin	Os05g0567100	LOC_Os05g49200
OS-ACS5|OsACS5	Os01g0192900	LOC_Os01g09700
OS-ALDH	Os02g0646500	LOC_Os02g43194
OS-CAD	Os01g0528800	LOC_Os01g34480
Os-CASTOR	Os03g0843600	LOC_Os03g62650
Os-eIF6;1	Os07g0639800	LOC_Os07g44620
Os-eIF6;2	Os01g0280500	LOC_Os01g17330
Os-LBD37	Os03g0445700	LOC_Os03g33090
Os-POLLUX	Os01g0870100	LOC_Os01g64980
Os11Gsk	Os11g0308100	LOC_Os11g20310
Os11N3|OsSWEET14	Os11g0508600	LOC_Os11g31190
Os1BGlu4	Os01g0897600	LOC_Os01g67220
Os2H16	Os06g0316000	LOC_Os06g21110
Os3BGlu6	Os03g0212800	LOC_Os03g11420
Os3BGlu7	Os03g0703000	LOC_Os03g49600
Os3BGlu8	Os03g0703100	LOC_Os03g49610
Os4BGlu12	Os04g0474800	LOC_Os04g39880
Os4CL1	Os08g0245200	LOC_Os08g14760
Os4CL2	Os02g0697400	LOC_Os02g46970
Os4CL3	Os02g0177600	LOC_Os02g08100
Os4CL4	Os06g0656500	LOC_Os06g44620
Os4CL5	Os08g0448000	LOC_Os08g34790
Os4NPP1	Os04g0490800	LOC_Os04g41340
Os6PGDH	Os06g0111500	LOC_Os06g02144
Os6PGDH2	Os11g0484500	LOC_Os11g29400
Os7BGlu26	Os01g0508000	LOC_Os01g32364
Os8N3|xa13|OsSWEET11	Os08g0535200	LOC_Os08g42350
Os9BGlu31	Os09g0511600	LOC_Os09g33680
OsA8	Os03g0100800	LOC_Os03g01120
OsAAE3	Os04g0683700	LOC_Os04g58710
OsAAO	Os07g0164900	LOC_Os07g07050
OsAAP3	Os06g0556000	LOC_Os06g36180
OsAAP6|qPC1	Os01g0878700	LOC_Os01g65670
OsAAT	Os01g0647100	LOC_Os01g45910
OsABA1|OSZEP1	Os04g0448900	LOC_Os04g37619
OsABA2	Os03g0810800	LOC_Os03g59610
OsABA45	Os12g0478200	LOC_Os12g29400
OsABA8ox1	Os02g0703600	LOC_Os02g47470
OsABA8ox2	Os08g0472800	LOC_Os08g36860
OsABA8ox3	Os09g0457100	LOC_Os09g28390
OsABC1-2	Os02g0575500	LOC_Os02g36570
OsABCB14	Os04g0459000	LOC_Os04g38570
OsABCC1|MRP1	Os04g0620000	LOC_Os04g52900
OsABCG15	Os06g0607700	LOC_Os06g40550
OsABCG25	Os10g0442900|Os10g0442950	LOC_Os10g30610
OsABCG26	Os10g0494300	LOC_Os10g35180
OsABCG43|PDR5	Os07g0522500	LOC_Os07g33780
OsABCI8|TSC1	Os11g0490800	LOC_Os11g29850
OsABF1|OsABI5|OREB1|OsbZIP10	Os01g0867300	LOC_Os01g64730
OsABI2|OsPP2C06|OsABIL1	Os01g0583100	LOC_Os01g40094
OsABI4	Os05g0351200	LOC_Os05g28350
OsABIL2	Os05g0592800	LOC_Os05g51510
OsABIL3|OsPP2C50	Os05g0537400	LOC_Os05g46040
OsABP	Os06g0526600	LOC_Os06g33520
OsACBP2	Os06g0115300	LOC_Os06g02490
OsACBP3	Os03g0576600	LOC_Os03g37960
OsACBP4	Os04g0681900	LOC_Os04g58550
OsACBP5	Os03g0243600	LOC_Os03g14000
OsACBP6	Os03g0835600	LOC_Os03g61930
OsACO1	Os09g0451400	LOC_Os09g27820
OsACO2	Os09g0451000	LOC_Os09g27750
OsACO3	Os02g0771600	LOC_Os02g53180
OsACO4	Os11g0186900	LOC_Os11g08380
OsACO5|OsACO6	Os05g0149400	LOC_Os05g05680
OsACO7	Os01g0580500	LOC_Os01g39860
OsACOS12	Os04g0310800	LOC_Os04g24530
OsACP1	Os01g0720400	LOC_Os01g52230
OsACR2.1	Os10g0545700	LOC_Os10g39860
OsACR2.2	Os03g0108000	LOC_Os03g01770
OsACR9	Os03g0247900	LOC_Os03g14370
OsACS	Os03g0133500	LOC_Os03g04120
OsACS1	Os03g0727600	LOC_Os03g51740
OsACS2	Os04g0578000	LOC_Os04g48850
OsACS3	Os05g0196600	LOC_Os05g10780
OsACS4	Os05g0319200	LOC_Os05g25490
OsACS6|SSG6	Os06g0130400	LOC_Os06g03990
OsACT1|OsActin-1	Os03g0718100	LOC_Os03g50885
OsAct2|OsActin-2	Os10g0510000	LOC_Os10g36650
OsActin	None	None
OsACTIN2	Os11g0163100	LOC_Os11g06390
OsACTPK1	Os02g0120100	LOC_Os02g02780
OsACX1	Os06g0103500	LOC_Os06g01390
OsACX2	Os11g0605500	LOC_Os11g39220
OsACX3	Os06g0354500	LOC_Os06g24704
OsADC1	Os06g0131300	LOC_Os06g04070
OsADF	Os10g0125300	LOC_Os10g03660
OsADF3	Os03g0820500	LOC_Os03g60580
OsADH	Os11g0210500	LOC_Os11g10510
OsAFB2	Os04g0395600	LOC_Os04g32460
OsAGAP	Os02g0198300	LOC_Os02g10480
OsAGD2	Os03g0299900	LOC_Os03g18810
OsAGO1a	Os02g0672200	LOC_Os02g45070
OsAGO1b	Os04g0566500	LOC_Os04g47870
OsAGO1c	Os02g0831600	LOC_Os02g58490
OsAGO1d	Os06g0729300	LOC_Os06g51310
OsAGO7|shl4|SHO2	Os03g0449200	LOC_Os03g33650
OsAGPR	Os03g0617900	LOC_Os03g42110
OsAGSW1	Os05g0323800	LOC_Os05g25840
OsAHL1|AHL1	Os08g0118000	LOC_Os08g02490
OsAHL2|AHL2	Os09g0491708	LOC_Os09g31470
OsAIP1	Os01g0125800	LOC_Os01g03510
OsAIP1|OsBAT1	Os01g0549700	LOC_Os01g36890
OsAIP2	Os01g0550000	LOC_Os01g36920
OsAIR1	Os05g0497600	LOC_Os05g41795
OsAIR2	Os11g0572500	LOC_Os11g36430
OsAK1	Os08g0109300	LOC_Os08g01770
OsAkaGal|Osh69	Os08g0495800	LOC_Os08g38710
OsAKR1|OsI_04426	Os01g0847600	LOC_Os01g62860
OsAKT1	Os01g0648000	LOC_Os01g45990
OsAKT2	Os05g0428700	LOC_Os05g35410
OsAL1	Os03g0425000	LOC_Os03g31150
OsAlaAT2	Os07g0617800	LOC_Os07g42600
OsAld-Y	Os06g0608700	LOC_Os06g40640
OsALD1	Os03g0195100	LOC_Os03g09910
OsALDH22	Os07g0688800	LOC_Os07g48920
OsALDH2B1|ALDH2b	Os06g0270900	LOC_Os06g15990
OsALDH7|OsALDH7B6|ALDH7B7	Os09g0440300	LOC_Os09g26880
OsALMT4	Os01g0221600	LOC_Os01g12210
OsALS	Os02g0510200	LOC_Os02g30630
OsALS1	Os03g0755100	LOC_Os03g54790
OsALYL1	Os01g0193900	LOC_Os01g09760
OsAM1	Os03g0650400	LOC_Os03g44760
OsAMT1;1|OsAMT1.1	Os04g0509600	LOC_Os04g43070
OsAMT1;2|OsAMT1.2	Os02g0620600	LOC_Os02g40730
OsAMT1;3|OsAMT1.3	Os02g0620500	LOC_Os02g40710
OsAMT2;1	Os05g0468700	LOC_Os05g39240
OsAMT2;3	Os01g0831900	LOC_Os01g61550
OsANN1	Os02g0753800	LOC_Os02g51750
OsAns	Os01g0372500	LOC_Os01g27490
OsAOC	Os03g0438100	LOC_Os03g32314
OsAOS1	Os03g0767000	LOC_Os03g55800
OsAOS2	Os03g0225900	LOC_Os03g12500
OsAOS3|OsHPL2	Os02g0218700	LOC_Os02g12680
OsAOS4|OsHPL1	Os02g0218800	LOC_Os02g12690
OsAOX1b	Os04g0600300	LOC_Os04g51160
OsAOX1c|AOX1c	Os02g0700400	LOC_Os02g47200
OsAP1	Os05g0137400	LOC_Os05g04630
OsAP19	Os02g0473200	LOC_Os02g27360
OsAP2-39	Os04g0610400	LOC_Os04g52090
OsAP23	Os03g0150200	LOC_Os03g05590
OsAP25	Os03g0186900	LOC_Os03g08790
OsAP37	Os04g0448500	LOC_Os04g37570
OsAP65	Os07g0592200	LOC_Os07g40260
OsAP77	Os10g0537800	LOC_Os10g39260
OsAPC6	Os03g0236900|Os03g0236966	LOC_Os03g13370
OsAPI5	Os02g0313400	LOC_Os02g20930
OsAPL1|OsAGPL3|OsAGPL1	Os03g0735000	LOC_Os03g52460
OsAPL2|osagpl2-3|OsAGPL2|GIF2	Os01g0633100	LOC_Os01g44220
OsAPL3	Os05g0580000	LOC_Os05g50380
OsAPL4|OsAGPL4	Os07g0243200	LOC_Os07g13980
OsAPS1|OsAGPS1	Os09g0298200	LOC_Os09g12660
OsAPS2|OsAGPS2b	Os08g0345800	LOC_Os08g25734
OsAPT1|APRT	Os12g0589100	LOC_Os12g39860
OsAPT2	Os04g0504000	LOC_Os04g42520
OsAPX1|APXa	Os03g0285700	LOC_Os03g17690
OsAPX2|APXb	Os07g0694700	LOC_Os07g49400
OsAPX4	Os08g0549100	LOC_Os08g43560
OsAPx8	Os02g0553200	LOC_Os02g34810
OsARA1	Os06g0702500	LOC_Os06g48940
OsARAF1	Os07g0686900	LOC_Os07g48750
OsARAF3	Os11g0131900	LOC_Os11g03730
OsARD|OsARD2	Os03g0161800	LOC_Os03g06620
OsARD1	Os10g0419400	LOC_Os10g28350
OsAREB8|OsAREB1|OsbZIP46|OsABF2|ABL1	Os06g0211200	LOC_Os06g10880
OsARF1	Os11g0523800	LOC_Os11g32110
OsARF12	Os04g0671900	LOC_Os04g57610
OsARF16	Os06g0196700	LOC_Os06g09660
OsARF19	Os06g0702600	LOC_Os06g48950
OsARF24	Os12g0479400	LOC_Os12g29520
OsARF25	Os12g0613700	LOC_Os12g41950
OsARG	Os04g0106300	LOC_Os04g01590
OsARID3	Os06g0622300	LOC_Os06g41730
OsARP|OsCTP	Os02g0465900	LOC_Os02g26700
OsAS2	Os06g0265000	LOC_Os06g15420
OsASL1	Os03g0305500	LOC_Os03g19280
OsASN1|OsAS1	Os03g0291500	LOC_Os03g18130
OsAsp1	Os11g0184800	LOC_Os11g08200
OsAT1	Os10g0195600	LOC_Os10g11980
OsAt10	Os06g0594600	LOC_Os06g39390
OsATG10b	Os12g0506800	LOC_Os12g32210
OsAtg4	Os04g0682000	LOC_Os04g58560
OsATG6a	Os01g0681400	LOC_Os01g48920
OsATG7	Os01g0614900	LOC_Os01g42850
OsAtg8	Os07g0512200	LOC_Os07g32800
OsATM3	Os06g0128300	LOC_Os06g03770
OsATX	Os01g0826000	LOC_Os01g61070
OsAUX1	Os01g0856500	LOC_Os01g63770
OsBADH2|fgr	Os08g0424500	LOC_Os08g32870
OsBAG4	Os01g0831200	LOC_Os01g61500
OsBBD1	Os01g0702000	LOC_Os01g50622
OsBBI1	Os06g0125800	LOC_Os06g03580
OsBBPI	Os01g0124401	LOC_Os01g03360
OsBBS1|OsRLCK109	Os03g0364400	LOC_Os03g24930
OsBBX14	Os05g0204600	LOC_Os05g11510
OsBC1	Os09g0510500	LOC_Os09g33580
OsBC1L4	Os05g0386800	LOC_Os05g32110
OsBDG	Os06g0132450|Os06g0132500|Os06g0132550	LOC_Os06g04169
OsBDG1	Os11g0514400	LOC_Os11g31530
OsBEIIb	Os02g0528200	LOC_Os02g32660
OsBGal1	Os03g0165400	LOC_Os03g06940
OsBGal2	Os06g0573600	LOC_Os06g37560
OsbHLH001|OsICE2	Os01g0928000	LOC_Os01g70310
OsbHLH004	Os10g0544200	LOC_Os10g39750
OsbHLH1|OsbHLH062	Os07g0628500	LOC_Os07g43530
OsbHLH133	Os12g0508500	LOC_Os12g32400
OsbHLH148	Os03g0741100	LOC_Os03g53020
OsbHLH155	Os06g0724800	LOC_Os06g50900
OsbHLH59	Os02g0116600	LOC_Os02g02480
OsBI-1	Os02g0125300	LOC_Os02g03280
OsBi1	None	None
OsBIABP1|SLAC1|OsSLAC1	Os04g0674700	LOC_Os04g57850
OsBIANK1|XB25	Os09g0513000	LOC_Os09g33810
OsBIDK1	Os04g0634700	LOC_Os04g54200
OsBIERF1	Os03g0761100	LOC_Os03g55320
OsBIERF2	None	None
OsBIERF4	Os03g0183300	LOC_Os03g08500
OsBIHD1	Os03g0680800	LOC_Os03g47740
OsBip1	Os02g0115900	LOC_Os02g02410
OsBIP116b	Os07g0185432	LOC_Os07g08790
OsBiP2|Bip2	Os03g0710500	LOC_Os03g50250
OsBiP3|BiP3	Os05g0367800	LOC_Os05g30480
OsBiP4	Os05g0428600	LOC_Os05g35400
OsBiP5	Os08g0197700	LOC_Os08g09770
OsBIPP2C1	Os03g0192500	LOC_Os03g09220
OsBIRF1	Os02g0743100	LOC_Os02g50930
OsBIRH1	Os03g0108600	LOC_Os03g01830
OsBISAMT1	Os11g0256900	LOC_Os11g15040
OsBISCPL1	Os08g0560500	LOC_Os08g44640
OsBISERK1|OsSERK1|OsBAK1|TBP1	Os08g0174700	LOC_Os08g07760
OsBLE1	Os05g0122900	LOC_Os05g03150
OsBLE2	Os07g0650600	LOC_Os07g45570
OsBLE3	Os05g0245300	LOC_Os05g15630
OsBLH1	Os12g0160500	LOC_Os12g06340
OsBLH6	Os03g0165300	LOC_Os03g06930
OsBON1	Os02g0521300	LOC_Os02g32160
OsBON3	Os05g0373300	LOC_Os05g30970
OsBOR1	Os12g0566000	LOC_Os12g37840
OsBOR4	Os05g0176800	LOC_Os05g08430
OsBP-73	Os03g0183100	LOC_Os03g08480
OsBphi262	Os05g0402900	LOC_Os05g33400
OsBRL1	Os09g0293500	LOC_Os09g12240
OsBRL2	Os10g0114400	LOC_Os10g02500
OsBRL3	Os08g0342300	LOC_Os08g25380
OsBRR1	Os03g0228800	LOC_Os03g12730
OsBRXL1	Os02g0700700	LOC_Os02g47230
OsBRXL2	Os03g0853500	LOC_Os03g63650
OsBRXL3	Os04g0600500	LOC_Os04g51172
OsBRXL4	Os08g0462700	LOC_Os08g36020
OsBRXL5	Os09g0444500|Os09g0444600	LOC_Os09g27230|LOC_Os09g27220
OsBRXL6	Os12g0193000	LOC_Os12g09080
OsBSK1-2	Os10g0542800	LOC_Os10g39670
OsBSK3	Os04g0684200	LOC_Os04g58750
OsBT	Os01g0908200	LOC_Os01g68020
OsBT1-1|OsBT1	Os02g0202400	LOC_Os02g10800
OsBT1-2	Os05g0171300	LOC_Os05g07900
OsBT1-3	Os06g0602700	LOC_Os06g40050
OsBTF3|Osj10gBTF3	Os10g0483000	LOC_Os10g34180
OsBURP16	Os10g0409400	LOC_Os10g26940
OSBZ8|OsbZIP05	Os01g0658900	LOC_Os01g46970
OsbZIP01	Os01g0174000	LOC_Os01g07880
OsbZIP16	Os02g0191600	LOC_Os02g09830
OsbZIP23	Os02g0766700	LOC_Os02g52780
OsbZIP28|OsbZIP1	Os03g0318600	LOC_Os03g20310
OsbZIP39	Os05g0411300	LOC_Os05g34050
OsbZIP48	Os06g0601500	LOC_Os06g39960
OsbZIP50|OsbZIP74	Os06g0622700	LOC_Os06g41770
OsbZIP52|RISBZ5	Os06g0662200	LOC_Os06g45140
OsbZIP60	Os07g0644100	LOC_Os07g44950
OsbZIP71	Os09g0306400	LOC_Os09g13570
OsbZIP72	Os09g0456200	LOC_Os09g28310
OsbZIP79|OsTGA911	Os11g0152700	LOC_Os11g05480
OsBZR1	Os07g0580500	LOC_Os07g39220
OsC1	Os06g0205100	LOC_Os06g10350
OsC3H47	Os07g0138400	LOC_Os07g04580
OSC4	Os08g0546300	LOC_Os08g43290
OsC6	Os11g0582500	LOC_Os11g37280
OsCA1|OsbetaCA1	Os01g0639900	LOC_Os01g45274
OsCAB1R	Os09g0346500	LOC_Os09g17740
OsCAld5H1|CYP84A5	Os10g0512400	LOC_Os10g36848
OsCaM	Os04g0444200	LOC_Os04g36660
OsCam1-1	Os03g0319300	LOC_Os03g20370
OsCam1-2|OsCam1	Os07g0687200	LOC_Os07g48780
OsCam1-3|OsCaM1-3	Os01g0267900	LOC_Os01g16240
OsCam2	Os05g0491100	LOC_Os05g41210
OsCam3	Os01g0279300	LOC_Os01g17190
OsCaM61	Os01g0810300	LOC_Os01g59530
OsCAND1	Os02g0167700	LOC_Os02g07120
OsCAO1|PGL	Os10g0567400	LOC_Os10g41780
OsCAO2	Os10g0567100	LOC_Os10g41760
OsCAS	Os04g0165700	LOC_Os04g08350
OsCATA	Os02g0115700	LOC_Os02g02400
OsCatB	Os05g0310500	LOC_Os05g24550
OsCATB	Os06g0727200	LOC_Os06g51150
OsCATC|noe1	Os03g0131200	LOC_Os03g03910
OsCAX1a	Os01g0557500	LOC_Os01g37690
OsCBK	Os03g0366200	LOC_Os03g25070
OsCBL1	Os10g0564800	LOC_Os10g41510
OsCBL10	Os01g0711500	LOC_Os01g51420
OsCBL2	Os12g0597000	LOC_Os12g40510
OsCBL8	Os02g0291400	LOC_Os02g18930
OsCBP	Os12g0137100	LOC_Os12g04240
OsCBSCBSPB4	Os12g0169400	LOC_Os12g07190
OsCBSIMPDH1|OsCBSIMPDH1a|OsCBSIMPDH1b	Os03g0780500	LOC_Os03g56800
OsCBSPPR1	Os09g0431600	LOC_Os09g26190
OsCBSSIS1	Os02g0158300	LOC_Os02g06360
OsCBSX3	Os02g0818000	LOC_Os02g57280
OsCBSX4	Os03g0737000	LOC_Os03g52690
OsCBT	Os07g0490200	LOC_Os07g30774
OsCc1	Os05g0420600	LOC_Os05g34770
OsCCaMK|OsDMI3	Os05g0489900	LOC_Os05g41090
OsCCC1	Os08g0323700	LOC_Os08g23440
OsCCC2	Os01g0304100	LOC_Os01g19850
OsCCD1	Os12g0640600	LOC_Os12g44310
OsCCR1	Os02g0808800	LOC_Os02g56460
OsCCR4a	Os10g0412100	LOC_Os10g27230
OsCCR4b	Os03g0166800	LOC_Os03g07080
OsCCS52A|TAD|TE	Os03g0123300	LOC_Os03g03150
OsCCS52B	Os01g0972900	LOC_Os01g74146
OsCCT01	Os01g0835700	LOC_Os01g61900
OsCCT11	Os03g0284100	LOC_Os03g17570
OsCCT19	Os06g0103000	LOC_Os06g01340
OsCCX2	Os03g0656500	LOC_Os03g45370
OsCD1|OsCSLD4|NRL1|ND1|sle1|DNL1	Os12g0555600	LOC_Os12g36890
OsCDase	Os01g0624000	LOC_Os01g43520
OsCDC27	Os06g0622500	LOC_Os06g41750
OsCDC48	Os03g0151800	LOC_Os03g05730
OsCDPK1|OsCDPK13|OsCDPK11|OsCPK11|OsCDPK12	Os03g0128700	LOC_Os03g03660
OsCDPK14	Os11g0171500	LOC_Os11g07040
OsCDPK2|OsCPK2	Os07g0515100	LOC_Os07g33110
OsCDPK7	Os04g0584600	LOC_Os04g49510
OsCDR1	Os01g0178600	LOC_Os01g08330
OsCDT1|OsCDT2	Os06g0143100	LOC_Os06g05120
OsCDT3	Os01g0178300	LOC_Os01g08300
OsCel9A|OsGLU5	Os01g0220100	LOC_Os01g12070
OsCEP6.1	Os08g0475500	LOC_Os08g37070
OsCER1	Os02g0621300	LOC_Os02g40784
OsCER2	Os04g0611200	LOC_Os04g52164
OsCERK	Os02g0656200	LOC_Os02g43912|LOC_Os02g43906
OsCERK1	Os08g0538300	LOC_Os08g42580
OsCesA4|Bc7|bc11	Os01g0750300	LOC_Os01g54620
OsCesA7	Os10g0467800	LOC_Os10g32980
OsCesA8	Os07g0208500	LOC_Os07g10770
OsCGT	Os06g0288300	LOC_Os06g18010
OsChI1	Os01g0827300	LOC_Os01g61160
OsChia4a	Os04g0494100	LOC_Os04g41680
OsCHL	Os10g0419600	LOC_Os10g28370
OsCHLH	Os03g0323200	LOC_Os03g20700
OsCHR4	None	LOC_Os07g03450
OsCHS	Os05g0574600	LOC_Os05g49900
OsCHX14	Os05g0276100	LOC_Os05g19500
OsCIA	Os10g0159700	LOC_Os10g07210
OsCIN1	Os02g0534400	LOC_Os02g33110
OsCIPK12	Os01g0759400	LOC_Os01g55450
OsCIPK14	Os12g0113500	LOC_Os12g02200
OsCIPK15	Os11g0113700	LOC_Os11g02240
OsCIPK23	Os07g0150700	LOC_Os07g05620
OsCIPK30	Os01g0759200	LOC_Os01g55440
OsCK1|OsCIPK31|CIPK03	Os03g0319400	LOC_Os03g20380
OsCKT1|OHK5|OsHk6	Os02g0738400	LOC_Os02g50480
OsCKX4	Os01g0940000	LOC_Os01g71310
OsCLC-1	None	None
OsCLC-2	Os02g0558100	LOC_Os02g35190
OsCLC1	Os01g0876100	LOC_Os01g65500
OsCLF|SDG711	Os06g0275500	LOC_Os06g16390
OsCLIP	Os07g0525100	LOC_Os07g34110
OsCLP	Os01g0937050	LOC_Os01g71080
OsCLP3	Os02g0634500	LOC_Os02g42290
OsClpD1	Os02g0526400	LOC_Os02g32520
OsClpP3	Os01g0507900	LOC_Os01g32350
OsClpP5	Os03g0308100	LOC_Os03g19510
OsCLT1	Os01g0955700	LOC_Os01g72570
OsCMK	Os01g0802100	LOC_Os01g58790
OsCML16	Os01g0135700	LOC_Os01g04330
OsCML3	Os12g0132300	LOC_Os12g03816
OsCMO	Os06g0698785	LOC_Os06g48510
OsCMT3a	Os10g0104900	LOC_Os10g01570
OsCMT3b	Os03g0226800	LOC_Os03g12570
OsCNGC13	Os06g0207700	LOC_Os06g10580
OsCNIH1	Os06g0136500	LOC_Os06g04500
OsCNX	Os04g0402100	LOC_Os04g32950
OsCO3	Os09g0240200	LOC_Os09g06464
OsCOI1|OsCOI1a	Os01g0853400	LOC_Os01g63420
OsCOI1b	Os05g0449500	LOC_Os05g37690
OsCOI2	Os03g0265500	LOC_Os03g15880
OsCOIN	Os01g0104100	LOC_Os01g01420
OsCOL10	Os03g0711100	LOC_Os03g50310
OsCOL13	Os07g0667300	LOC_Os07g47140
OsCOL15	Os08g0536300	LOC_Os08g42440
OsCOL16	Os06g0264200	LOC_Os06g15330
OsCOL4	Os02g0610500	LOC_Os02g39710
OsCOLE1	Os05g0529000	LOC_Os05g45280
OsCOM1	Os06g0613400	LOC_Os06g41050
Oscor413-pm1	Os03g0767800	LOC_Os03g55850
OsCP1	Os04g0670500	LOC_Os04g57490
OsCP12	Os03g0306800	LOC_Os03g19380
OsCPD1	Os11g0143200	LOC_Os11g04710
OsCPK10	Os03g0788500	LOC_Os03g57450
OsCPK12	Os04g0560600	LOC_Os04g47300
OsCPK17	Os07g0161600	LOC_Os07g06740
OsCPK21	Os08g0540400	LOC_Os08g42750
OsCPK24	Os11g0171500	LOC_Os11g07040
OsCPK25	Os11g0136600	LOC_Os11g04170
OsCPK26	Os12g0133500	LOC_Os12g03970
OsCPK31	None	None
OsCPK4	Os02g0126400	LOC_Os02g03410
OsCPK9	Os03g0688300	LOC_Os03g48270
OsCPL1|sh-h	Os07g0207700	LOC_Os07g10690
OsCPn60alpha1|OsCPn60a1	Os12g0277500	LOC_Os12g17910
OsCPP5	Os05g0509400	LOC_Os05g43380
OsCPS|OsCPS1	Os02g0278700	LOC_Os02g17780
OsCPS2|OsCyc2	Os02g0571100|Os02g0570900	LOC_Os02g36210
OsCPS3	Os09g0319800	LOC_Os09g15050
OsCPS4|OsCyc1	Os04g0178300	LOC_Os04g09900
OscpSRP43	Os03g0131900	LOC_Os03g03990
OsCR4	Os03g0637800	LOC_Os03g43670
OsCRSH3	Os05g0161800	LOC_Os05g06940
OsCRTISO|ZEBRA2|MHZ5|MIT3	Os11g0572700	LOC_Os11g36440
OsCRY1a	Os02g0573200	LOC_Os02g36380
OsCRY1b	Os04g0452100	LOC_Os04g37920
OsCRY2|CRY2	Os02g0625000	LOC_Os02g41550
OsCSIL1	Os06g0223800	LOC_Os06g11990
OsCSLD1|rth-2	Os10g0578200	LOC_Os10g42750
OsCSP1	Os02g0121100	LOC_Os02g02870
OsCSP2	Os08g0129200	LOC_Os08g03520
OsCstF50|OsWD40-93	Os03g0754900	LOC_Os03g54770
OsCstF64	Os11g0176100	LOC_Os11g07490
OsCstF77	Os12g0571900	LOC_Os12g38380
OsctHSP70-1	Os05g0460000	LOC_Os05g38530
OscTPI	Os01g0841600	LOC_Os01g62420
OsCTR1	Os04g0243700	LOC_Os04g16970
OsCTR2	Os02g0527600	LOC_Os02g32610
