Symbol	RAPdb	MSU
Cht-2	Os05g0399300	LOC_Os05g33130
Cht-3	Os06g0726100	LOC_Os06g51050
CIGR1	Os07g0545800	LOC_Os07g36170
CIGR2	Os07g0583600	LOC_Os07g39470
CK2alpha2	Os07g0114400	LOC_Os07g02350
CK2alpha3	Os03g0207300	LOC_Os03g10940
CK2beta1	Os10g0564900	LOC_Os10g41520
CK2beta3	Os07g0495100	LOC_Os07g31280
CKI|EL1|Hd16	Os03g0793500	LOC_Os03g57940
CLA1|OsDXS1|OsDXS2	Os05g0408900	LOC_Os05g33840
CLPP4	Os10g0580800	LOC_Os10g43050
CLPR4	Os01g0271400	LOC_Os01g16530
COE1	Os08g0442700	LOC_Os08g34380
COLD1	Os04g0600800	LOC_Os04g51180
COMT|OsCOMT	Os08g0157500	LOC_Os08g06100
COP1|PPS	Os02g0771100	LOC_Os02g53140
COPT1	Os01g0770700	LOC_Os01g56420
COPT5	Os05g0424700	LOC_Os05g35050
COR413-TM1|Oscor413-tm1	Os05g0566800	LOC_Os05g49170
COX11|OsCOX11	Os03g0718600	LOC_Os03g50940
COX5c	Os12g0561000	LOC_Os12g37419
coxVb|COX5b	Os01g0612200	LOC_Os01g42650
CP24	Os04g0457000	LOC_Os04g38410
CP29|OsLhcb4	Os07g0558400	LOC_Os07g37240
CPD|OsCPDP|qUVR-10	Os10g0167600	LOC_Os10g08580
CPT1	Os02g0568200	LOC_Os02g35970
CRC1	Os04g0479000	LOC_Os04g40290
CRK10	Os07g0541500	LOC_Os07g35700
CRK6	Os07g0541400	LOC_Os07g35690
CRL1|ARL1	Os03g0149100	LOC_Os03g05510
CRL4|OsGNOM1	Os03g0666100	LOC_Os03g46330
Crl5	Os07g0124700	LOC_Os07g03250
CRO1	Os07g0246200	LOC_Os07g14270
CRP	Os05g0468800	LOC_Os05g39250
CRR1	Os03g0119500	None
CRR6	Os08g0167500	LOC_Os08g07060
CRT	Os03g0832200	LOC_Os03g61670
CRTintP	Os07g0498800	LOC_Os07g31540
CSA	Os01g0274800	LOC_Os01g16810
CslF6	Os08g0160500	LOC_Os08g06380
CSN6	Os08g0500000	LOC_Os08g39070
CSP41b|LGL1	Os12g0420200	LOC_Os12g23180
Ctb1	Os04g0619300	LOC_Os04g52830
CTB4a	Os04g0132500	LOC_Os04g04330
CTD2	Os02g0650800	LOC_Os02g43460
CTMyb1	Os02g0776700	LOC_Os02g53670
CycB1;1|OsCycB1;1	Os01g0805600	LOC_Os01g59120
Cyclin-T1;3	Os11g0157100	LOC_Os11g05850
CYCLOPS|OsIPD3	Os06g0115600	LOC_Os06g02520
CYCU4;1	Os10g0563900	LOC_Os10g41430
CYP703A3	Os08g0131100	LOC_Os08g03682
CYP704B2	Os03g0168600	LOC_Os03g07250
CYP714B1	Os07g0681300	LOC_Os07g48330
CYP714B2	Os03g0332100	LOC_Os03g21400|LOC_Os03g21419
CYP72A31	Os01g0602200	LOC_Os01g41800
CYP734A2	Os02g0204700	LOC_Os02g11020
CYP734A4	Os06g0600400	LOC_Os06g39880
CYP734A5	Os07g0647200	LOC_Os07g45290
CYP734A6	Os01g0388000	LOC_Os01g29150
CYP76M6	Os02g0571900	LOC_Os02g36280
CYP76M7	Os02g0569900	LOC_Os02g36110
CYP76M8	Os02g0569400	LOC_Os02g36070
CYP87A3	Os04g0570000	LOC_Os04g48170
CYP90D3	Os05g0200400	LOC_Os05g11130
CYP93G1|OsFNSII	Os04g0101400	LOC_Os04g01140
CYP93G2	Os06g0102100	LOC_Os06g01250
CYP94C2a	Os12g0151400	None
CYP94C2b	Os12g0150200	LOC_Os12g05440
CYP97A4	Os02g0817900	LOC_Os02g57290
CYP99A2	Os04g0180400	LOC_Os04g10160
CYP99A3	Os04g0178400	LOC_Os04g09920
CysP13|CpP13|PG5a|Prol-06	Os05g0329100	LOC_Os05g26386|LOC_Os05g26377
CysR10|crP10	Os03g0766000	LOC_Os03g55730
cZOGT1	Os04g0556500	LOC_Os04g46980
cZOGT2	Os04g0556600	LOC_Os04g46990
cZOGT3	Os04g0565400	LOC_Os04g47770
D-h	Os01g0201275	LOC_Os01g10460
D1|RGA1	Os05g0333200	LOC_Os05g26890
D10|OsCCD8|OsCCD8b	Os01g0746400	LOC_Os01g54270
D11|CPB1|CYP724B1|GNS4	Os04g0469800	LOC_Os04g39430
D14L	Os03g0437600	LOC_Os03g32270
d18|OsGA3ox2	Os01g0177400	LOC_Os01g08220
D2|CYP90D2|SMG11	Os01g0197100	LOC_Os01g10040
D27	None	LOC_Os11g37650
D3	Os06g0154200	LOC_Os06g06050
D35|OsKOS3|OsKO2	Os06g0570100	LOC_Os06g37364
D50	Os02g0477700	LOC_Os02g27620
D53	Os11g0104300|Os11g0104350	LOC_Os11g01330
D6|OSH15|Oskn3	Os07g0129700	LOC_Os07g03770
D61|OsBRI1	Os01g0718300	LOC_Os01g52050
DAD-1|DAD1	Os04g0397000	LOC_Os04g32550
DAO	Os07g0572100	LOC_Os07g38440
DAO	Os04g0475600	LOC_Os04g39980
DBS1|OsNACK	Os01g0513900	LOC_Os01g33040
DCA1	Os10g0456800	LOC_Os10g31850
DCW11	Os02g0255100	LOC_Os02g15594
DDF1	Os06g0139000	LOC_Os06g04710
DDX47|TOGR1	Os03g0669000	LOC_Os03g46610
DEC	Os12g0465700	LOC_Os12g27994
DEL1	Os10g0457200	LOC_Os10g31910
DEP1|DN1|qPE9-1|OsDEP1	Os09g0441900	LOC_Os09g26999
DEP2|EP2|SRS1	Os07g0616000	LOC_Os07g42410
DEP3	Os06g0677000	LOC_Os06g46350
DEPG1	Os05g0365300	LOC_Os05g30220
DGL1|OsKTN60	Os01g0683100	LOC_Os01g49000
DH1	Os02g0820500	LOC_Os02g57490
DHAR1|OsDHAR1|OsDHAR	Os05g0116100	LOC_Os05g02530
DHS	Os02g0682300	LOC_Os02g45780
DL	Os03g0215200	LOC_Os03g11600
DLT|OsGRAS-32|D62|GS6|SMOS2	Os06g0127800	LOC_Os06g03710
DMC1A|DMC1	Os12g0143800	LOC_Os12g04980
DNG701	Os05g0445900	LOC_Os05g37350
DNMT2	Os01g0612000	LOC_Os01g42630
Docs1	Os02g0236100	LOC_Os02g14120
DP1	Os06g0136900	LOC_Os06g04540
DPE1	Os07g0627000	LOC_Os07g43390
DPF	Os01g0196300	LOC_Os01g09990
DPL1	Os01g0258600	LOC_Os01g15448
DPL2	Os06g0184100	LOC_Os06g08510
DPW	Os03g0167600	LOC_Os03g07140
DPW2	None	LOC_Os01g70025
DRO1	Os09g0439800	LOC_Os09g26840
DRUS1	Os03g0333200	LOC_Os03g21540
DRUS2	Os01g0769700	LOC_Os01g56330
DSH1	Os06g0226950	LOC_Os06g12250
DSM1	Os02g0743500	LOC_Os02g50970
DSM2	Os03g0125100	LOC_Os03g03370
DSM3|OsITPK2	Os03g0230500	LOC_Os03g12840
DST	Os03g0786400	LOC_Os03g57240
DTC1	Os07g0540366	LOC_Os07g35610
DTD|EAT1	Os04g0599300	LOC_Os04g51070
DTH2|OsCOL9|OsCCT08	Os02g0724000	LOC_Os02g49230
DTM1	None	LOC_Os07g43010
Du1	Os10g0498600	LOC_Os10g35550
DWA1	Os04g0473850	LOC_Os04g39780
DWT1	Os01g0667450|Os01g0667400	LOC_Os01g47710
